amfi_code,HHI,scheme_name,fund_house,category
119092,0.20644766999999994,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap
101207,0.20070043,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap
119599,0.17475095999999998,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap
118632,0.1682982,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap
148568,0.16792973,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap
120505,0.15757036000000002,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap
120506,0.1537936,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value
125498,0.15241398,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap
120841,0.14968035000000002,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap
148569,0.14939642,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS
100033,0.14759225999999998,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap
149323,0.14162096000000002,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap
120503,0.14087026,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap
100016,0.13953386,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap
148567,0.13858416999999998,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap
125497,0.13658554,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap
119094,0.13640591000000002,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap
149322,0.13439797,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap
119093,0.13089424,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap
102887,0.12980494999999997,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap
101206,0.12933173,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap
120843,0.12868306000000002,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap
120842,0.12743880999999999,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap
118633,0.12146086,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap
119551,0.11871551999999999,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap
149324,0.11867710000000001,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap
102886,0.11469284,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap
119095,0.10960535000000002,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap
120504,0.10867415000000001,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap
118634,0.10835772,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap
119552,0.10801068999999998,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap
119598,0.10734895,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap
